Material,Qty,Units,Buying Link (Accounts for quantity),Cost (Accounts for shipping),Notes
Jumper Wires Assortment,1,Each,https://www.amazon.com/Elegoo-EL-CP-004-Multicolored-Breadboard-arduino/dp/B01EV70C78/ref=sr_1_1?crid=306L4BM6IMUNG&dib=eyJ2IjoiMSJ9.tjHxIQLJsk16_0YVtUGN6bbl0Qa0zwtKJLUJBhoe4rEAdcPysPdOHUYw7wjnBx6gswcAxGUQHT6n5EbIn-c9lwjtZnn2qGhqJ8UGuNRI0DC1MGdMiMVGkSx5HA1YY96HILaXvck6LwLzh_DvL5hEUYvF53msqx5d5A9UEuXh2f1XvUdIGI_eutRjn_Sleyruyi2QEQoqHD_SwpJGGrTaaEgZIr2FpEOJGt0gf_Rs5Is.26Qus0JB_8Nb0CWaKvgBgp6tDnZD1I1sOtckO_Uam3k&dib_tag=se&keywords=Assortment%2Bjumper%2Bwires&qid=1783316132&sprefix=assortment%2Bjumper%2Bw%2Caps%2C426&sr=8-1&th=1,$6.98,"Self-sourced, I already own this so I don't need extra funding for this."
AMS1117 Voltage Regulator,1,Each,https://www.amazon.com/VKLSVAN-AMS1117-3-3V-Converter-Voltage-Regulator/dp/B0DPMQXWMS/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Hu6OApFm_av_jXnp5Jke-Ft-ZZRgSJjRX0PQ2WPzm2BgdlXX4rNlp5vN8oCvXzU0rS4md_aCKybwiTHROvteeW3nEUl4nPj9qoF0U5VgmPGLZ8wD8U8kcttBNliUiQnxMGG0GlrcVVdGFUuZwjdlODJiRUafSqag1gSRqDeVvLSxAUXEAg8x73F9rml5wAvmXbWluldR3Y9rj7o88fszyDt_o5adAmHLw8pCW7gj648.qLG6PXYRij2UNUOdSMs7aFht_tV2qpHDKqJZt-pLspY&dib_tag=se&keywords=DC%2FDC%2BStep-Down%2BVoltage%2BRegulator%2B3.3v%2BPower%2BSupply%2BAdapter%2BAMS1117%2B3.3v&nsdOptOutParam=true&qid=1783314852&sr=8-7&th=1,$5.96,
GA25Y-370 Motor-47.9,1,Each,https://www.amazon.com/25GA-370-Reduction-Geared-Electronic-400RPM/dp/B07JGWXSHF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.CSXZdw29FXNxLIp-VF_oD8KEvuve8whEtAtjC2I7traAeFIv1AQW_XQH-T2HSajOM_oNv5sP5Hz4rXynNSEfDXuaLNtE8q1hGQJSUvF1fqixwaGHMYMafts_WPk6vls4t_J0D2ztyMrTljxzSPUkgF-qSo9G9AXuyCzATQe2LKFEokThBjS7TE1XKsL43XEq.-42y86t-BoEtbmOrXNoWBz_gV2NnjsUn63bFMdpGHGI&dib_tag=se&keywords=GA25Y-370%2BMotor-47.9&qid=1783314882&sr=8-1&th=1,$12.43,"Or any webcam of your choice, labtop/compiter webcam also works"
Logitech C920 Webcam,1,Each,https://www.amazon.com/Logitech-Widescreen-Calling-Recording-Desktop/dp/B006JH8T3S/ref=sr_1_5?crid=20I3GOETJCNEC&dib=eyJ2IjoiMSJ9.auUNK0r8G7CD35ZNL3l-C4fQhRwVNPfqosAHvRcYrOAWIj9uH8Ka2f5fCQEE68CqQHmspbQFAKMjUfE46bfarjyrLX1TgXUoma8TvFNn4ogrUev7NDMkOn4GZXCPlM5-EjFSXceZGxSToLbG3s8VheXBK2DjjRrT7sADWyHZ0jhpgrffUy26sUIznTQ1-3TTlX8jRPqQey1gJ_7bid6uKlhMCPAsbVfQJAetBb3hiXY.zSzpgkuqOc1YJqN4EHtCKAGXUgf4b9mF8XqqDWan830&dib_tag=se&keywords=Logitech+CN20+Webcam&qid=1783315008&sprefix=ga25y-370+motor-47.9%2Caps%2C371&sr=8-5,$68.00,
TM1637 4-Digit Display,1,Each,https://www.amazon.com/DIYables-4-Digit-7-Segment-Display-Raspberry/dp/B0BXKLZJMV/ref=sr_1_2?crid=3NX533FSQSPE6&dib=eyJ2IjoiMSJ9.cPR1_lOCh1e6cQyE4vS959SieKqNXwsNqo7bIliLmHC2yBsUVxzWGU8F-_XwViW9SGFPu6lfS8IPr8OxRIxWtWp1_qSKcrs-VL9csCk4urpdCU_ZxSc-YKhjZqS-wN1l-U-IgtM-4HsZTfTBrscmHFbksGxuIBFGa9Rjx2u1LKSyudsgdQJcSl0etCyuSqdFK-BhoaZLevaRfvW4Si7T0H0xkzXMSsn_VwaoD2xR0Fw.eMUTq-scIWz_fwTSZAwDJGyaFml0zTjWxmyTgruVF10&dib_tag=se&keywords=TM1637%2B4-Digit%2BDisplay&qid=1783315048&sprefix=logitech%2Bcn20%2Bwebcam%2Caps%2C411&sr=8-2&th=1,$5.99,
Cardboard,1,Board,N/A,$0.00,
Hot Glue Kit,1,Each,https://www.amazon.com/Krightlink-Sticks-School-Crafts-Repairs/dp/B0BC878ZRG/ref=sr_1_1?crid=1YZGM6AV3531K&dib=eyJ2IjoiMSJ9.rmkAqlNRv8pqMmb3ec-MNP3guA1kIfIvpmE5XpVZ9n2EkUflRMjcXuAcPxhobUO0BBYm8e_69VaNCTQGJr3F93zcwr0M0zbmX3cupDVfxjuE9FLEP-wLCpGVpdRN0QtHxoyQrWRRLuhm6fyLGBnU8hPQ7jtCXL2Wk11d53dwW6YD3NzhzVUegr7-MgbPDcdTARWtDCVV-pdk6P2sHmiUdHg5Lox0BwKicdHvNhShrSAPhhV2gy08y-cHLEov726oJcLTXkAg09PE7HXcGkVGkJVNWptjlBDwh4IhLIc_F0M.Lww7avIlZwmc9uXrryv_K4m1MxO8m2ZxyJZwAbzx7dQ&dib_tag=se&keywords=Hot+Glue+Kit&qid=1783315156&sprefix=tm1637+4-digit+display%2Caps%2C378&sr=8-1,$8.99,
Limit Switches,2,Each,https://www.amazon.com/HiLetgo-KW12-3-Roller-Switch-Normally/dp/B07X142VGC/ref=sr_1_1?crid=1ACQ01WEJUE6B&dib=eyJ2IjoiMSJ9.6U-WNCBR7-M0b3Ee_c49HgiD-J_wlZSdSaAv45F5DK9_nCDHmsK6gfBqRgBTEcmHZHH5taT9W9mQL-pkvUTglfh3F5u2a9XpyRNq1jdKUk2ov97i_uKEG6cb7YtsOhTh2DLdpFWJ9Ct_iE1CBLtsxOJnRGZC48iPa6demgmNCpvKp9GDU0a157M3ghmoX7zfi_DA35fSU2FXFhI0Fz4CTS6NWgKmz4X4P441BwPt9dg.MZxOrqHPohDjcW3M2Fbx1uCG6KPq57rG8TLBTRX4Ca0&dib_tag=se&keywords=Limit+Switches&qid=1783315196&sprefix=hot+glue+kit%2Caps%2C407&sr=8-1,$5.99,
Magnets 6mm,2,Pairs,https://www.amazon.com/Magnets-Refrigerator-Cylinder-Whiteboard-Miniature/dp/B0936M3WPK/ref=sr_1_4?crid=2R9BB627VR51B&dib=eyJ2IjoiMSJ9.bJ9808qU0cxF-DRvUIb_F37P3eUlsijA1sBh_TH1TIX9g7HBbUQ0yibbiXtI4cmKjh2dJkGY8r-_VGAo6lyNWX8AMlgHCgOlmDjfmXF7MP0qt3q1_eoMM5P9nNAFRxR9GA7FBBMW5OujidYb3ckJcaMKrDVY2J50Lbxazd04YDg7l-tbgubedEXHk3TnTfgCVWRZM8PY9XG7SVj0QvT_FxkoM0y_T9jtWkvEnsADWZ8.JeSPws_86c4dB2ZhYPEWcwQ9rTsKmJIb9vtZtLYyzNg&dib_tag=se&keywords=6mm%2Bmagnets%27&qid=1783315250&sprefix=6mm%2Bmagnets%27%2Caps%2C358&sr=8-4&th=1,$4.99,
Foam,1,Block,N/A,$0.00,
Rack and Pinion 3D Part,1,Each,N/A,$0.02,
Obstacles 3D Part,4,Each,N/A,$0.47,
Motor Mount 3D Part,1,Each,N/A,$0.77,
Dinosaur 3D Part,1,Each,N/A,$0.13,
AA Batteries,4,Each,amazon.com/AmazonBasics-Performance-Alkaline-Batteries-8-Pack/dp/B00O869KJE/ref=sr_1_3?crid=21ZB6L8Y1KM0Q&dib=eyJ2IjoiMSJ9.qezp8kXthZdyOBn254AAdiHAMmzXcHLZXWFYbgOx69AsDOUuSlgEUCvC4RzXWH5pQL8X_oJBTllFXSrfwQ7rw9NtlTY5eaAw37qBd06A8L5TseoImHSYmPRshfoVNVHUZAKYJ5a7R2QoNg42nsfvws1XVmeLXh5D-VpWx6-6GZwQKfoSbI8UcDbxxxdEjErTgjrtv4kW8xBEbacESqa2y5I4J9XRK2lRNKYTnBcUT4an80o3jUrB-QKVBCfdaEjHsmL5InILFzfC9juOh9kNUUAl3002ga5K2L38MbX2hn4.mP9y-W-w3PzfKWmnAqugdhXhgWxFmitU8cyaP9EEUgU&dib_tag=se&keywords=AA+batteries&qid=1783315609&rdc=1&sprefix=aa+batter%2Caps%2C414&sr=8-3,$6.49,
"Taxes (in Fremont, California)",N/A,N/A,N/A,$28.51,"I don't need extra funding for this, I can pay this."
,,,Total Cost:,$328.46,
,,,Note: Everything is bought with Amazon and Microcenter which has free shipping,,
